sim_num,final_bankroll,roi_pct
736,210.61,110.6
737,210.63,110.6
738,210.67,110.7
739,210.59,110.6
740,210.5,110.5
741,210.55,110.6
742,210.65,110.7
743,210.61,110.6
744,210.72,110.7
745,210.59,110.6
746,210.53,110.5
747,210.58,110.6
748,210.6,110.6
749,210.61,110.6
750,210.62,110.6
751,210.57,110.6
752,210.54,110.5
753,210.48,110.5
754,210.63,110.6
755,210.48,110.5
756,210.64,110.6
757,210.65,110.7
758,210.59,110.6
759,210.59,110.6
760,210.66,110.7
761,210.57,110.6
762,210.59,110.6
763,210.61,110.6
764,210.53,110.5
765,210.64,110.6
766,210.56,110.6
767,210.61,110.6
768,210.59,110.6
769,210.6,110.6
770,210.64,110.6
771,210.59,110.6
772,210.53,110.5
773,210.66,110.7
774,210.57,110.6
775,210.69,110.7
776,210.64,110.6
777,210.61,110.6
778,210.57,110.6
779,210.54,110.5
780,210.53,110.5
781,210.57,110.6
782,210.65,110.7
783,210.56,110.6
784,210.62,110.6
785,210.6,110.6
786,210.74,110.7
787,210.57,110.6
788,210.7,110.7
789,210.54,110.5
790,210.57,110.6
791,210.54,110.5
792,210.62,110.6
793,210.6,110.6
794,210.5,110.5
795,210.58,110.6
796,210.65,110.7
797,210.59,110.6
798,210.55,110.6
799,210.53,110.5
800,210.73,110.7
801,210.5,110.5
802,210.51,110.5
803,210.56,110.6
804,210.63,110.6
805,210.63,110.6
806,210.58,110.6
807,210.69,110.7
808,210.63,110.6
809,210.59,110.6
810,210.54,110.5
811,210.6,110.6
812,210.66,110.7
813,210.56,110.6
814,210.58,110.6
815,210.59,110.6
816,210.55,110.6
817,210.58,110.6
818,210.62,110.6
819,210.59,110.6
820,210.56,110.6
821,210.59,110.6
822,210.56,110.6
823,210.58,110.6
824,210.58,110.6
825,210.58,110.6
826,210.56,110.6
827,210.58,110.6
828,210.57,110.6
829,210.56,110.6
830,210.63,110.6
831,210.57,110.6
832,210.66,110.7
833,210.58,110.6
834,210.53,110.5
835,210.71,110.7
836,210.69,110.7
837,210.61,110.6
838,210.63,110.6
839,210.57,110.6
840,210.6,110.6
841,210.61,110.6
842,210.63,110.6
843,210.56,110.6
844,210.7,110.7
845,210.58,110.6
846,210.51,110.5
847,210.54,110.5
848,210.68,110.7
849,210.57,110.6
850,210.59,110.6
851,210.59,110.6
852,210.65,110.7
853,210.57,110.6
854,210.61,110.6
855,210.51,110.5
856,210.6,110.6
857,210.62,110.6
858,210.63,110.6
859,210.55,110.6
860,210.49,110.5
861,210.63,110.6
862,210.48,110.5
863,210.63,110.6
864,210.61,110.6
865,210.57,110.6
866,210.57,110.6
867,210.48,110.5
868,210.6,110.6
869,210.59,110.6
870,210.63,110.6
871,210.64,110.6
872,210.64,110.6
873,210.65,110.7
874,210.63,110.6
875,210.55,110.6
876,210.6,110.6
877,210.65,110.7
878,210.64,110.6
879,210.59,110.6
880,210.6,110.6
881,210.53,110.5
882,210.57,110.6
883,210.54,110.5
884,210.67,110.7
885,210.65,110.7
886,210.59,110.6
887,210.7,110.7
888,210.64,110.6
889,210.52,110.5
890,210.63,110.6
891,210.62,110.6
892,210.56,110.6
893,210.5,110.5
894,210.46,110.5
895,210.56,110.6
896,210.59,110.6
897,210.58,110.6
898,210.58,110.6
899,210.59,110.6
900,210.66,110.7
901,210.49,110.5
902,210.57,110.6
903,210.63,110.6
904,210.62,110.6
905,210.58,110.6
906,210.53,110.5
907,210.65,110.7
908,210.59,110.6
909,210.62,110.6
910,210.59,110.6
911,210.58,110.6
912,210.55,110.6
913,210.53,110.5
914,210.53,110.5
915,210.58,110.6
916,210.57,110.6
917,210.54,110.5
918,210.64,110.6
919,210.55,110.6
920,210.59,110.6
921,210.56,110.6
922,210.58,110.6
923,210.52,110.5
924,210.64,110.6
925,210.55,110.6
926,210.73,110.7
927,210.62,110.6
928,210.65,110.7
929,210.56,110.6
930,210.56,110.6
931,210.57,110.6
932,210.53,110.5
933,210.65,110.7
934,210.71,110.7
935,210.65,110.7
936,210.65,110.7
937,210.64,110.6
938,210.46,110.5
939,210.65,110.7
940,210.58,110.6
941,210.59,110.6
942,210.54,110.5
943,210.57,110.6
944,210.59,110.6
945,210.54,110.5
946,210.58,110.6
947,210.54,110.5
948,210.58,110.6
949,210.54,110.5
950,210.64,110.6
951,210.63,110.6
952,210.6,110.6
953,210.65,110.7
954,210.66,110.7
955,210.56,110.6
956,210.67,110.7
957,210.59,110.6
958,210.62,110.6
959,210.62,110.6
960,210.68,110.7
961,210.54,110.5
962,210.51,110.5
963,210.53,110.5
964,210.53,110.5
965,210.57,110.6
966,210.53,110.5
967,210.61,110.6
968,210.53,110.5
969,210.55,110.6
970,210.61,110.6
971,210.52,110.5
972,210.47,110.5
973,210.67,110.7
974,210.62,110.6
975,210.57,110.6
976,210.69,110.7
977,210.65,110.7
978,210.5,110.5
979,210.7,110.7
980,210.63,110.6
981,210.58,110.6
982,210.58,110.6
983,210.65,110.7
984,210.61,110.6
985,210.6,110.6
986,210.57,110.6
987,210.57,110.6
988,210.61,110.6
989,210.62,110.6
990,210.69,110.7
991,210.66,110.7
992,210.58,110.6
993,210.56,110.6
994,210.51,110.5
995,210.59,110.6
996,210.5,110.5
997,210.66,110.7
998,210.66,110.7
999,210.61,110.6
1000,210.63,110.6
